resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname
22378,911,18,1,22,10,6,6,6,8,44,54.58,5131136,38,8,01:53.5,222.186,1,BUT,Jenson,Button
22379,911,4,6,14,4,7,7,7,6,44,+1:01.162,5137718,29,11,01:53.9,221.413,1,ALO,Fernando,Alonso
22380,911,815,10,11,13,8,8,8,4,44,+1:04.293,5140849,28,16,01:54.5,220.151,1,PER,Sergio,Pérez
22381,911,826,5,26,11,9,9,9,2,44,+1:05.347,5141903,26,14,01:54.2,220.87,1,KVY,Daniil,Kvyat
22382,911,807,10,27,18,10,10,10,1,44,+1:05.697,5142253,40,9,01:53.6,221.934,1,HUL,Nico,Hülkenberg
22383,911,818,5,25,12,11,11,11,0,44,+1:11.920,5148476,31,7,01:53.3,222.592,1,VER,Jean-Éric,Vergne
22384,911,825,1,20,7,12,12,12,0,44,+1:14.262,5150818,28,15,01:54.2,220.785,1,MAG,Kevin,Magnussen
22385,911,13,3,19,9,13,13,13,0,44,+1:15.975,5152531,37,3,01:52.5,224.104,1,MAS,Felipe,Massa
22386,911,16,15,99,14,14,14,14,0,44,+1:22.447,5159003,36,2,01:52.4,224.301,1,SUT,Adrian,Sutil
22387,911,821,15,21,20,15,15,15,0,44,+1:30.825,5167381,32,12,01:54.0,221.178,1,GUT,Esteban,Gutiérrez
22395,912,1,131,44,1,1,1,1,25,53,19:10.2,4750236,29,1,01:28.0,236.975,1,HAM,Lewis,Hamilton
22396,912,3,131,6,2,2,2,2,18,53,3.175,4753411,51,2,01:28.2,236.432,1,ROS,Nico,Rosberg
22397,912,13,3,19,4,3,3,3,15,53,25.026,4775262,46,3,01:28.3,236.068,1,MAS,Felipe,Massa
22398,912,822,3,77,3,4,4,4,12,53,40.786,4791022,50,5,01:28.6,235.49,1,BOT,Valtteri,Bottas
22399,912,817,9,3,9,5,5,5,10,53,50.309,4800545,53,6,01:28.6,235.413,1,RIC,Daniel,Ricciardo
22400,912,20,9,1,8,6,6,6,8,53,59.965,4810201,34,10,01:29.1,233.952,1,VET,Sebastian,Vettel
